pincode,district,statename,latitude,longitude
504273,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3638689,79.5376658
504299,KUMURAM BHEEM ASIFABAD,TELANGANA,19.4764899,79.583923
504296,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3285752,79.4760132
504209,MANCHERIAL,TELANGANA,18.8730283,79.4118699
504272,MANCHERIAL,TELANGANA,19.182086,79.4816378
504297,KUMURAM BHEEM ASIFABAD,TELANGANA,19.1973141,79.2394761
504295,KUMURAM BHEEM ASIFABAD,TELANGANA,19.458073,79.400529
506371,HANUMAKONDA,TELANGANA,18.0814575,79.4986557
505415,Jagitial,TELANGANA,18.684847,79.110961
505304,RAJANNA SIRCILLA,TELANGANA,18.268181,78.622141
505532,Jagitial,TELANGANA,18.698599,79.074032
506003,HANUMAKONDA,TELANGANA,17.922479,79.5384425
